frame.time_epoch	frame.len	eth.src	eth.dst	ip.src	ip.dst	tcp.srcport	tcp.dstport	udp.srcport	udp.dstport	icmp.type	icmp.code	arp.opcode	arp.src.hw_mac	arp.src.proto_ipv4	arp.dst.hw_mac	arp.dst.proto_ipv4	ipv6.src	ipv6.dst
1642954628.566551000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566752000	54	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	13.225.100.153	2603	443											
1642954628.566800000	1186	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566800000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.566870000	66	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	13.225.100.153	2603	443											
1642954628.566895000	66	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	13.225.100.153	2603	443											
1642954628.566903000	66	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	13.225.100.153	2603	443											
1642954628.566912000	66	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	13.225.100.153	2603	443											
1642954628.566920000	66	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	13.225.100.153	2603	443											
1642954628.566935000	66	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	13.225.100.153	2603	443											
1642954628.566943000	66	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	13.225.100.153	2603	443											
1642954628.566970000	66	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	13.225.100.153	2603	443											
1642954628.566982000	66	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	13.225.100.153	2603	443											
1642954628.566990000	66	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	13.225.100.153	2603	443											
1642954628.567001000	66	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	13.225.100.153	2603	443											
1642954628.567024000	66	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	13.225.100.153	2603	443											
1642954628.567034000	66	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	13.225.100.153	2603	443											
1642954628.567045000	66	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	13.225.100.153	2603	443											
1642954628.567056000	66	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	13.225.100.153	2603	443											
1642954628.567068000	66	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	13.225.100.153	2603	443											
1642954628.567079000	66	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	13.225.100.153	2603	443											
1642954628.567102000	66	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	13.225.100.153	2603	443											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	620	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
1642954628.568335000	1494	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	13.225.100.153	192.168.1.102	443	2603											
